,nac,region,sexo,edad,edu,ingreso,esc,region,prof,ing_nivel
330,1,1,1,47,13,1994000,15,1,0,1
331,1,1,2,55,7,270000,8,1,0,0
332,3,1,2,29,7,"3,00E+05",6,1,0,0
333,1,1,1,51,9,300833,11,1,0,0
334,1,1,2,37,9,340000,10,1,0,0
335,3,1,1,60,14,"4,00E+05",13,1,0,0
336,1,1,1,80,6,230000,6,1,0,0
337,3,1,2,28,11,382083,12,1,0,0
338,3,1,1,29,11,462792,12,1,0,0
339,1,1,1,50,11,604655,9,1,0,1
340,1,1,2,49,11,416785,12,1,0,0
341,1,1,1,19,11,455833,10,1,0,0
342,1,1,1,41,14,668333,14,1,0,1
343,1,1,2,41,15,280000,17,1,1,0
344,1,1,2,39,9,456667,12,1,0,0
345,1,1,1,48,15,952500,17,1,1,1
346,1,1,2,60,15,689000,16,1,1,1
347,1,1,2,65,10,190000,10,1,0,0
348,1,1,1,32,15,"5,00E+05",17,1,1,0
349,1,1,1,30,13,540736,15,1,0,1
350,1,1,2,47,11,348667,13,1,0,0
351,3,1,2,37,13,585000,15,1,0,1
352,1,1,2,56,11,50000,12,1,0,0
353,1,1,2,34,15,515167,17,1,1,0
354,1,1,2,57,11,615000,12,1,0,1
355,1,1,1,35,11,539167,12,1,0,1
356,1,1,2,54,11,"5,00E+05",12,1,0,0
357,1,1,1,54,9,"2,00E+05",11,1,0,0
358,1,1,2,52,9,"2,00E+05",12,1,0,0
359,1,1,2,22,11,"4,00E+05",12,1,0,0
360,1,1,1,26,11,275000,12,1,0,0
361,1,1,1,65,8,276667,9,1,0,0
362,3,1,1,48,9,530000,12,1,0,1
363,3,1,2,47,9,280000,12,1,0,0
364,1,1,2,61,8,275000,12,1,0,0
365,1,1,2,38,15,275000,16,1,1,0
366,1,1,1,63,10,270000,10,1,0,0
367,1,1,1,34,14,801500,17,1,0,1
368,1,1,1,50,11,"8,00E+05",12,1,0,1
369,1,1,1,28,9,382000,12,1,0,0
370,1,1,1,81,8,"3,00E+05",12,1,0,0
371,1,1,1,51,11,"3,00E+05",11,1,0,0
372,1,1,1,28,15,1400000,17,1,1,1
373,1,1,2,23,15,75370,17,1,1,0
374,1,1,1,51,11,"1,00E+05",11,1,0,0
375,1,1,1,29,15,"9,00E+05",16,1,1,1
376,1,1,2,61,9,"6,00E+05",12,1,0,1
377,1,1,2,57,9,"5,00E+05",11,1,0,0
378,1,1,2,39,15,1300000,17,1,1,1
379,1,1,1,29,15,1079125,17,1,1,1
380,1,1,2,58,9,320167,12,1,0,0
381,1,1,1,39,11,320000,12,1,0,0
382,1,1,1,84,4,301250,0,1,0,0
383,1,1,2,73,8,120000,11,1,0,0
384,1,1,1,39,15,408000,17,1,1,0
385,1,1,2,24,15,"1,00E+06",17,1,1,1
386,1,1,1,60,9,"2,00E+05",10,1,0,0
387,1,1,1,36,7,"3,00E+05",8,1,0,0
388,1,1,1,51,15,634000,18,1,1,1
389,1,1,2,49,11,380000,13,1,0,0
390,2,1,1,45,9,280000,12,1,0,0
391,1,1,2,26,16,1311667,17,1,1,1
392,1,1,1,24,13,"7,00E+05",15,1,0,1
393,1,1,2,31,11,415000,12,1,0,0
394,1,1,2,58,9,318500,12,1,0,0
395,1,1,1,39,11,322500,12,1,0,0
396,3,1,2,37,9,180000,12,1,0,0
397,1,1,1,59,14,"5,00E+05",16,1,0,0
398,1,1,2,61,11,"2,00E+05",12,1,0,0
399,1,1,2,62,9,326833,12,1,0,0
400,1,1,1,63,10,350000,10,1,0,0
401,1,1,1,63,10,350000,10,1,0,0
402,1,1,1,34,13,"1,00E+06",15,1,0,1
403,1,1,2,74,10,12000,10,1,0,0
404,3,1,2,40,15,508333,17,1,1,0
405,1,1,1,58,15,1304202,17,1,1,1
406,1,1,2,42,13,507500,15,1,0,0
407,1,1,1,50,9,"1,00E+06",12,1,0,1
408,1,1,1,39,13,"1,00E+06",15,1,0,1
409,1,1,2,38,14,150000,15,1,0,0
410,3,1,1,25,13,550833,15,1,0,1
411,3,1,2,34,9,393000,12,1,0,0
412,1,1,1,49,15,2020000,17,1,1,1
413,1,1,2,47,15,1411667,17,1,1,1
414,1,1,1,61,11,416667,12,1,0,0
415,1,1,2,29,13,"7,00E+05",15,1,0,1
416,1,1,1,53,15,1500000,16,1,1,1
417,1,1,1,30,15,257039,17,1,1,0
418,1,1,1,26,9,312360,12,1,0,0
419,1,1,1,50,9,530000,12,1,0,1
420,1,1,2,25,9,"4,00E+05",12,1,0,0
421,1,1,1,30,9,605000,12,1,0,1
422,3,1,1,60,10,"4,00E+05",10,1,0,0
423,3,1,2,32,9,150000,12,1,0,0
424,1,1,1,39,9,550000,12,1,0,1
425,3,1,2,31,9,245000,12,1,0,0
426,1,1,1,43,9,450000,11,1,0,0
427,1,1,1,43,9,450000,12,1,0,0
428,1,1,1,46,17,903333,20,1,1,1
429,3,1,2,41,11,453333,12,1,0,0
430,1,1,1,34,9,450000,12,1,0,0
431,1,1,1,72,10,1500000,11,1,0,1
432,2,1,2,33,7,"7,00E+05",8,1,0,1
433,1,1,1,40,14,502500,17,1,0,0
434,1,1,2,47,9,330000,12,1,0,0
435,1,1,2,40,14,230000,15,1,0,0
436,1,1,2,75,8,11250,9,1,0,0
437,1,1,2,61,9,194907,9,1,0,0
438,1,1,2,36,11,321250,12,1,0,0
439,1,1,1,22,14,"2,00E+05",13,1,0,0
440,1,1,2,61,9,250000,12,1,0,0
441,1,1,1,28,14,474167,14,1,0,0
442,1,1,2,34,15,1142500,17,1,1,1
443,1,1,1,69,8,562917,11,1,0,1
444,1,1,2,49,9,270000,9,1,0,0
445,1,1,1,39,9,"2,00E+05",10,1,0,0
446,1,1,2,37,15,350000,16,1,1,0
447,1,1,1,68,9,166000,12,1,0,0
448,1,1,2,55,7,"3,00E+05",7,1,0,0
449,1,1,2,28,12,270000,15,1,0,0
450,1,1,2,20,9,270000,12,1,0,0
451,1,1,1,19,9,270000,10,1,0,0
452,1,1,1,38,9,270000,12,1,0,0
453,3,1,1,33,9,370000,12,1,0,0
454,3,1,2,32,9,"3,00E+05",12,1,0,0
455,3,1,1,34,11,"5,00E+05",12,1,0,0
456,3,1,2,36,9,45000,12,1,0,0
457,3,1,1,32,11,270000,12,1,0,0
458,3,1,2,32,11,250000,12,1,0,0
459,2,1,1,37,9,"3,00E+05",12,1,0,0
460,1,1,2,23,9,270000,12,1,0,0
